"ID","NAME","EXPDATE","CANCELLED","TRIGGERDATE","INITOREXT","TRIGGERORG","STARTDATE","TRIGGERGROUPSIZE","COMMENTS","TRIGGERTYPE"
117,"Jeffreys Ledge",2010-11-27 00:00:00 AMERICA/NEW_YORK,"",2010-11-13 00:00:00,"","1",2010-11-16 15:19:00 AMERICA/NEW_YORK,10,"","v"
118,"Cashes Ledge",2010-11-27 00:00:00 AMERICA/NEW_YORK,"",2010-11-13 00:00:00,"","1",2010-11-16 15:19:00 AMERICA/NEW_YORK,14,"","v"
119,"Jordan Basin",2010-11-27 00:00:00 AMERICA/NEW_YORK,"",2010-11-15 00:00:00,"","1",2010-11-16 15:19:00 AMERICA/NEW_YORK,12,"","v"
120,"Jeffreys Ledge",2010-12-14 00:00:00 AMERICA/NEW_YORK,"",2010-11-29 00:00:00,"","1",2010-11-29 15:35:00 AMERICA/NEW_YORK,7,"Tim Cole called this DMA in prior to the official memo being transmitted to the NERO","v"
121,"Jordan Basin",2010-12-14 00:00:00 AMERICA/NEW_YORK,"",2010-11-30 00:00:00,"","1",2010-12-01 15:24:00 AMERICA/NEW_YORK,16,"","v"
122,"Cashes Ledge",2010-12-14 00:00:00 AMERICA/NEW_YORK,"",2010-11-30 00:00:00,"","1",2010-12-01 15:24:00 AMERICA/NEW_YORK,4,"","v"
123,"Cashes Ledge",2011-01-02 00:00:00 AMERICA/NEW_YORK,"",2010-12-18 00:00:00,"","1",2010-12-21 10:56:00 AMERICA/NEW_YORK,28,"","v"
124,"Jordan Basin",2011-01-02 00:00:00 AMERICA/NEW_YORK,"",2010-12-18 00:00:00,"","1",2010-12-21 10:56:00 AMERICA/NEW_YORK,5,"shipboard survey","v"
125,"Jeffreys Ledge",2011-01-15 00:00:00 AMERICA/NEW_YORK,"",2010-12-30 00:00:00,"","1",2011-01-04 11:01:00 AMERICA/NEW_YORK,3,"","v"
127,"Jordan Basin",2011-01-15 00:00:00 AMERICA/NEW_YORK,"",2010-12-31 00:00:00,"","1",2011-01-04 11:01:00 AMERICA/NEW_YORK,8,"","v"
126,"Cashes Ledge",2011-01-15 00:00:00 AMERICA/NEW_YORK,"",2010-12-31 00:00:00,"","1",2011-01-04 11:01:00 AMERICA/NEW_YORK,4,"","v"
128,"Sandy Hook",2011-01-23 00:00:00 AMERICA/NEW_YORK,"",2011-01-08 00:00:00,"","5",2011-01-10 13:49:00 AMERICA/NEW_YORK,3,"","v"
129,"East of Cape Cod",2011-03-11 00:00:00 AMERICA/NEW_YORK,"",2011-02-24 00:00:00,"","2",2011-02-25 08:26:00 AMERICA/NEW_YORK,5,"","v"
130,"East of Nantucket",2011-03-29 01:00:00 AMERICA/NEW_YORK,"",2011-03-14 00:00:00,"","1",2011-03-15 10:07:00 AMERICA/NEW_YORK,5,"","v"
131,"Nantucket Sound",2011-05-10 00:00:00 AMERICA/NEW_YORK,"",2011-04-25 00:00:00,"","1",2011-04-27 08:04:00 AMERICA/NEW_YORK,3,"","v"
132,"Martha's Vineyard",2011-05-15 00:00:00 AMERICA/NEW_YORK,"",2011-04-30 00:00:00,"","1",2011-05-02 07:42:00 AMERICA/NEW_YORK,13,"","v"
133,"East of Cape Cod",2011-05-17 00:00:00 AMERICA/NEW_YORK,"",2011-05-02 00:00:00,"","1",2011-05-03 15:13:00 AMERICA/NEW_YORK,21,"","v"
134,"East of Cape Cod",2011-05-17 00:00:00 AMERICA/NEW_YORK,"",2011-05-02 00:00:00,"","1",2011-05-03 15:13:00 AMERICA/NEW_YORK,21,"","v"
135,"Cashes Ledge",2011-06-22 00:00:00 AMERICA/NEW_YORK,"",2011-06-07 00:00:00,"","1",2011-06-08 07:36:00 AMERICA/NEW_YORK,10,"Tim Cole called this in to NERO in advance","v"
136,"Lindenkohl Basin",2011-07-01 00:00:00 AMERICA/NEW_YORK,"",2011-06-16 00:00:00,"","1",2011-06-24 07:45:00 AMERICA/NEW_YORK,3,"","v"
137,"Jeffreys Ledge",2011-08-29 00:00:00 AMERICA/NEW_YORK,"",2011-08-14 00:00:00,"","1",2011-08-15 09:51:00 AMERICA/NEW_YORK,4,"","v"
138,"Jeffreys Ledge",2011-09-16 00:00:00 AMERICA/NEW_YORK,"",2011-09-02 00:00:00,"","8",2011-09-06 15:26:00 AMERICA/NEW_YORK,7,"","v"
139,"Jeffreys Ledge",2011-10-05 00:00:00 AMERICA/NEW_YORK,"",2011-09-21 00:00:00,"","2",2011-09-22 14:09:00 AMERICA/NEW_YORK,14,"","v"
140,"Jeffreys Ledge",2011-10-21 00:00:00 AMERICA/NEW_YORK,"",2011-10-06 00:00:00,"","8",2011-10-07 15:38:00 AMERICA/NEW_YORK,10,"","v"
141,"Jeffreys Ledge",2011-11-07 00:00:00 AMERICA/NEW_YORK,"",2011-10-23 00:00:00,"","3",2011-10-24 10:11:00 AMERICA/NEW_YORK,16,"","v"
142,"Jeffreys Ledge",2011-11-16 00:00:00 AMERICA/NEW_YORK,"",2011-11-01 00:00:00,"","3",2011-11-07 07:44:00 AMERICA/NEW_YORK,12,"Implementation delayed until the expiration of the 10/24 DMA","v"
143,"Cashes Ledge",2011-11-23 00:00:00 AMERICA/NEW_YORK,"",2011-11-08 00:00:00,"","1",2011-11-08 16:00:00 AMERICA/NEW_YORK,32,"Called in from the survey","v"
144,"Jordan Basin",2011-11-24 00:00:00 AMERICA/NEW_YORK,"",2011-11-09 00:00:00,"","1",2011-11-09 11:16:00 AMERICA/NEW_YORK,13,"","v"
145,"Jeffreys Ledge",2011-12-01 00:00:00 AMERICA/NEW_YORK,"",2011-11-16 00:00:00,"","1",2011-11-16 13:25:00 AMERICA/NEW_YORK,15,"Called in from the survey; extension of 11/1/2011","v"
146,"Cashes Ledge",2011-12-07 00:00:00 AMERICA/NEW_YORK,"",2011-11-22 00:00:00,"","1",2011-11-23 07:54:00 AMERICA/NEW_YORK,23,"Called in from the survey","v"
147,"Jordan Basin",2011-12-11 00:00:00 AMERICA/NEW_YORK,"",2011-11-26 00:00:00,"","1",2011-11-28 11:46:00 AMERICA/NEW_YORK,27,"","v"
148,"Jeffreys Ledge",2011-12-16 00:00:00 AMERICA/NEW_YORK,"",2011-12-01 00:00:00,"","1",2011-12-01 10:47:00 AMERICA/NEW_YORK,11,"Called in from the survey; extension of 11/16/2011","v"
149,"Cape Cod Bay",2011-12-18 00:00:00 AMERICA/NEW_YORK,"",2011-12-03 00:00:00,"","1",2011-12-06 09:21:00 AMERICA/NEW_YORK,3,"","v"
150,"Cashes Ledge",2011-12-28 00:00:00 AMERICA/NEW_YORK,"",2011-12-13 00:00:00,"","4",2011-12-14 13:21:00 AMERICA/NEW_YORK,23,"","v"
151,"Jeffreys Ledge",2012-01-19 00:00:00 AMERICA/NEW_YORK,"",2012-01-04 00:00:00,"","1",2012-01-05 07:34:00 AMERICA/NEW_YORK,10,"","v"
152,"Cashes Ledge",2012-01-21 00:00:00 AMERICA/NEW_YORK,"",2012-01-06 00:00:00,"","1",2012-01-06 15:41:00 AMERICA/NEW_YORK,17,"Allison Henry called this DMA in after the survey flight.","v"
153,"Jordan Basin",2012-01-24 00:00:00 AMERICA/NEW_YORK,"",2012-01-09 00:00:00,"","1",2012-01-09 18:57:00 AMERICA/NEW_YORK,15,"Allison Henry called this DMA in after the survey flight.","v"
154,"Jeffreys Ledge",2012-02-04 00:00:00 AMERICA/NEW_YORK,"",2012-01-19 00:00:00,"","1",2012-01-20 07:56:00 AMERICA/NEW_YORK,4,"","v"
1,"Jeffreys Ledge",2012-02-10 00:00:00 AMERICA/NEW_YORK,"",2012-02-03 00:00:00,"i","1",2012-02-03 00:00:00 AMERICA/NEW_YORK,12,"","v"
155,"Jeffreys Ledge",2012-02-18 00:00:00 AMERICA/NEW_YORK,"",2012-02-03 00:00:00,"","1",2012-02-03 14:56:00 AMERICA/NEW_YORK,12,"Pete Duley called this DMA in after the survey flight.","v"
2,"Race Point",2012-02-29 00:00:00 AMERICA/NEW_YORK,"",2012-02-15 00:00:00,"i","2",2012-02-16 00:00:00 AMERICA/NEW_YORK,16,"","v"
156,"Race Point",2012-03-01 00:00:00 AMERICA/NEW_YORK,"",2012-02-15 00:00:00,"","2",2012-02-16 15:25:00 AMERICA/NEW_YORK,16,"","v"
157,"Great South Channel",2012-03-02 00:00:00 AMERICA/NEW_YORK,"",2012-02-16 00:00:00,"","2",2012-02-17 11:45:00 AMERICA/NEW_YORK,8,"","v"
35,"Great South Channel",2012-03-02 11:45:00 -04:00,"",2012-02-16 00:00:00,"i","2",2012-02-17 11:45:00 -04:00,8,"","v"
3,"Rhode Island Sound",2012-03-05 00:00:00 AMERICA/NEW_YORK,"",2012-02-19 00:00:00,"i","5",2012-02-21 00:00:00 AMERICA/NEW_YORK,3,"","v"
34,"Stellwagen Bank",2012-04-04 10:30:00 -04:00,"",2012-03-20 11:00:00,"i","1",2012-03-21 10:30:00 -04:00,5,"","v"
36,"East of Boston",2012-04-27 07:46:00 AMERICA/NEW_YORK,"",2012-04-13 00:00:00,"i","37",2012-04-16 07:46:00 AMERICA/NEW_YORK,3,"","v"
38,"Vineyard Sound DMA",2012-05-04 00:00:00 AMERICA/NEW_YORK,"",2012-04-19 00:44:00,"i","5",2012-04-20 07:00:00 AMERICA/NEW_YORK,3,"","v"
57,"Stellwagen Bank",2012-07-25 09:00:00 -04:00,"",2012-07-10 13:35:00,"i","1",2012-07-11 09:00:00 -04:00,3,"DMA was not entered into Oracle database until 7/16","v"
56,"Cashes Ledge",2012-07-27 09:00:00 -04:00,"",2012-07-12 12:15:00,"i","1",2012-07-16 08:17:00 -04:00,10,"Larger area than initially issued by Asaro July 12; DMA was not entered into oracle Database until 7/16","v"
159,"Cashes Ledge extension",2012-08-09 23:40:00 -04:00,"",2012-07-26 09:34:00,"e","1",2012-07-26 23:40:00 -04:00,16,"","v"
193,"Jeffreys Bank DMA",2012-12-19 09:42:00 -05:00,"",2012-12-04 10:09:00,"i","4",2012-12-05 09:42:00 -05:00,9,"sightings from the R/V Endeavor","v"
213,"Cape Cod Bay",2012-12-28 09:42:00 -05:00,"",2012-12-14 12:00:00,"i","2",2012-12-14 09:45:00 -05:00,15,"","v"
231,"Stellwagen Bank",2013-01-09 13:50:00 -05:00,"",2012-12-26 10:09:00,"i","1",2012-12-26 13:50:00 -05:00,3,"","v"
232,"Port Canaveral, FL",2013-01-17 00:00:00 -05:00,"",2013-01-02 00:00:00,"","0",2013-01-03 00:00:00 -05:00,3,"","v"
251,"New Jersey",2013-01-29 16:50:00 -05:00,"",2013-01-14 00:00:00,"i","5",2013-01-14 16:50:00 -05:00,10,"","v"
271,"Atlantic City DMA",2013-02-21 14:41:00 -05:00,"",2013-02-07 10:10:00,"i","5",2013-02-07 14:41:00 -05:00,5,"","v"
272,"Nantucket",2013-03-02 13:43:00 -05:00,"yes",2013-02-15 16:17:00,"i","4",2013-02-16 13:43:00 -05:00,6,"Smaller than area initially entered on 2/16. Adjusted 2/18.
","v"
273,"Savannah",2013-03-11 00:00:01 -05:00,"",2013-02-24 00:00:01,"","",2013-02-25 00:00:01 -05:00,4,"","v"
274,"Marthas Vineyard and Nantucket",2013-03-13 14:50:00 -05:00,"",2013-02-26 15:55:00,"e","4",2013-02-27 14:50:00 -05:00,20,"Entered 31 minutes after Asaro announcement","v"
293,"Nantucket",2013-05-13 09:35:00 -04:00,"",2013-04-28 09:30:00,"i","0",2013-04-29 09:35:00 -04:00,4,"Opportinistic reports","v"
314,"Off Race Point",2013-05-15 23:50:00 -04:00,"",2013-05-01 10:12:00,"i","2",2013-05-01 23:50:00 -04:00,9,"","v"
313,"25nm SE Portsmouth NH",2013-05-15 23:50:00 -04:00,"",2013-05-01 11:50:00,"i","34",2013-05-01 23:50:00 -04:00,3,"","v"
315,"New York 130 East",2013-06-24 11:48:00 -04:00,"",2013-06-10 09:05:00,"i","1",2013-06-10 11:48:00 -04:00,3,"Gordon Gunter Ecosystem cruise","v"
335,"Nantucket Sound",2013-07-21 15:17:00 -04:00,"",2013-07-07 00:00:00,"i","27",2013-07-07 15:17:00 -04:00,3,"Erin Burke (DMF) conducted interview of rec boater Gary Breda","v"
355,"100nm S of Providence RI",2013-07-24 11:07:00 -04:00,"",2013-07-10 06:47:00,"i","1",2013-07-10 11:07:00 -04:00,3,"Sighted by Gordon Waring about the NOAA Ship Henry Bigelow","v"
356,"Cape Cod Bay",2014-01-01 00:00:00 -04:00,"yes",2013-12-23 00:00:00,"","2",2013-12-26 08:00:00 AMERICA/NEW_YORK,8,"","v"
357,"Palm Coast",2014-01-22 00:00:00 AMERICA/NEW_YORK,"",2014-01-08 00:00:00,"i","4",2014-01-13 16:45:00 AMERICA/NEW_YORK,4,"Entered manually both in Oracle and kml file by Christin Khan","v"
396,"46nm SE Nantucket, MA",2014-01-18 14:57:00 -05:00,"",2014-01-15 14:57:00,"i","4",2014-01-15 17:58:00 -05:00,3,"This DMA was entered with the wrong coordinates, it was active for a couple days and then replaced by ID 415. ","v"
416,"Savannah",2014-02-07 00:00:00 AMERICA/NEW_YORK,"",2014-01-23 00:00:00,"","",2014-01-24 16:45:00 AMERICA/NEW_YORK,3,"","v"
415,"26nm S Nantucket MA",2014-01-30 14:57:00 -05:00,"",2014-01-31 00:00:00,"i","4",2014-01-18 14:57:00 -05:00,5,"Correction/replacement of DMA ID 396 which had the wrong coordinates","v"
417,"Nantucket DMA",2014-03-16 01:00:00 AMERICA/NEW_YORK,"",2014-03-01 00:00:00,"i","4",2014-03-01 21:48:27 AMERICA/NEW_YORK,3,"NLPSC aerials; entered manually","v"
436,"4nm SE Nantucket, MA",2014-03-20 09:33:00 -05:00,"",2014-03-05 09:33:00,"i","1",2014-03-06 09:33:00 -05:00,11,"Sightings during AMAPPS survey","v"
456,"28nm S Nantucket",2014-04-17 10:50:00 -04:00,"",2014-04-02 13:27:00,"i","4",2014-04-03 10:50:00 -04:00,8,"NLPSC aerial surveys","v"
476,"13nm NE of Nantucket",2014-04-21 14:21:00 -04:00,"",2014-04-07 00:00:00,"i","1",2014-04-07 14:21:00 -04:00,7,"","v"
496,"70nm E Portland ME",2014-08-15 10:10:00 -04:00,"",2014-07-30 15:10:00,"i","0",2014-08-01 10:10:00 -04:00,3,"Reported by the Nova Star ferry","v"
497,"DMA 20140808 13nm S Portsmouth NH",2014-08-22 16:24:00 -04:00,"",2014-08-08 13:00:00,"i","0",2014-08-08 16:24:00 -04:00,5,"Sighted by a private sailing vessel, initially reported to GARFO","v"
498,"DMA 141213 13nm SE Nantucket",2014-12-27 16:32:00 -05:00,"",2014-12-13 14:12:00,"i","1",2014-12-13 16:32:00 -05:00,10,"Spotted whales off effort on our transit home","v"
518,"Cape Cod Bay",2015-01-01 10:11:00 -05:00,"",2014-12-22 14:24:00,"i","2",2014-12-23 10:11:00 -05:00,7,"Changed to end on 1/1 when SMA goes into effect instead of 1/6 as calculated (change made around noon on 12/29 by CBK)","v"
519,"13 nm South of Nantucket",2015-01-10 18:29:00 -05:00,"",2014-12-27 11:15:00,"i","4",2014-12-27 18:29:00 -05:00,8,"Delay in getting the extension date corrected on the Google map website (change made around noon on 12/29 by CBK)","v"
520,"Delaware Bay DMA",2015-01-31 15:12:00 -05:00,"",2015-01-17 10:55:00,"i","9",2015-01-17 15:12:00 -05:00,12,"","v"
521,"24nm south of Nantucket",2015-02-04 17:44:00 -05:00,"",2015-01-21 11:00:00,"i","4",2015-01-21 17:44:00 -05:00,6,"Sighted during NLPSC survey","v"
543,"13nm S Marthas Vineyard",2015-03-28 09:28:00 -04:00,"",2015-03-13 12:00:00,"i","4",2015-03-16 09:28:00 -04:00,6,"","v"
563,"65nm E New York",2015-04-11 17:42:00 -04:00,"",2015-03-28 12:23:00,"i","0",2015-03-28 17:42:00 -04:00,4,"East Coast Observers dredge observer","v"
565,"Rhode Island Sound DMA",2015-04-15 20:03:00 -04:00,"",2015-04-01 14:10:00,"i","1",2015-04-01 20:03:00 -04:00,4,"off watch sighting","v"
585,"11nm SW Nantucket",2015-05-01 15:00:00 -04:00,"",2015-04-16 11:53:00,"i","4",2015-04-17 15:00:00 -04:00,5,"","v"
586,"120nm NE Boston",2015-05-19 16:44:00 -04:00,"",2015-05-05 12:30:00,"i","1",2015-05-05 16:44:00 -04:00,6,"NEFSC aerial surveys ID 22472","v"
606,"85nm ENE Boston",2015-05-28 18:46:00 -04:00,"",2015-05-14 15:27:00,"i","1",2015-05-14 18:46:00 -04:00,3,"","v"
646,"35nm ESE Nantucket",2015-06-15 14:00:00 -04:00,"",2015-05-28 17:20:00,"i","1",2015-06-01 14:00:00 -04:00,3,"T.Cole only now realized sighting outside of SMA","v"
667,"13nm ESE Boston",2015-08-15 23:59:00 -04:00,"",2015-08-01 13:10:00,"i","37",2015-08-01 15:10:00 -04:00,3,"Originally posted without core area included so zone was smaller","v"
689,"25nm NE Boston",2016-04-24 00:00:00 -04:00,"",2016-04-09 00:00:00,"i","34",2016-04-10 00:00:00 -04:00,3,"","v"
709,"25nm NE Boston",2016-05-05 14:43:00 -04:00,"",2016-04-19 12:00:00,"e","4",2016-04-21 14:43:00 -04:00,3,"NEAq verified 3 whales present in civilian images","v"
729,"Atlantic City NJ ",2016-04-29 13:47:00 -04:00,"cancelled
",2016-04-28 08:30:00,"i","5",2016-04-28 10:34:00 -04:00,5,"called in to USCG by fishermen, near to Hudson Canyon; cancelled on 4/29 due to species uncertainty (was active for about 24 hrs)
","v"
749,"20nm SE Portsmouth NH",2016-05-13 11:13:00 -04:00,"",2016-04-28 14:05:00,"i","33",2016-04-29 11:13:00 -04:00,9,"","v"
769,"55nm SE Nantucket MA",2016-09-06 21:30:00 -04:00,"",2016-08-23 16:30:00,"i","0",2016-08-23 21:30:00 -04:00,6,"Reported by sailing vessel to USCG SE NE","v"
789,"16nm S Marthas Vineyard MA",2017-03-07 18:07:00 -05:00,"extended",2017-02-21 14:20:00,"i","1",2017-02-21 18:07:00 -05:00,10,"RV Selkie cruise Pete Duley PI","v"
809,"16nm S Marthas Vineyard MA",2017-03-20 12:00:00 -05:00,"",2017-03-06 00:00:00,"e","4",2017-03-06 12:00:00 -05:00,14,"NLPSC survey - Ester Quintana PI","v"
829,"22nm SW Nantucket MA",2017-04-05 14:27:00 -04:00,"",2017-03-21 13:17:00,"i","4",2017-03-22 14:27:00 -04:00,4,"NLPSC survey - Ester Quintana PI","v"
849,"12nm ENE Boston MA",2017-04-08 16:02:00 -04:00,"",2017-03-25 10:38:00,"i","34",2017-03-27 16:02:00 -04:00,3,"Threshold density likely reached (see emails), but several individuals skim feeding confirmed triggering DMA according to 2004 guidance document (in mmisas/closures/DMA).","v"
869,"19nm SSW Nantucket MA",2017-04-24 04:00:00 -04:00,"extended",2017-04-09 10:45:00,"i","4",2017-04-11 11:12:00 -04:00,7,"Ester Quintana","v"
889,"19nm SSW Nantucket MA",2017-05-05 10:37:00 -04:00,"",2017-04-19 13:25:00,"e","4",2017-04-21 10:37:00 -04:00,20,"","v"
909,"15nm SE Block Island RI",2017-05-19 14:22:00 -04:00,"",2017-05-04 10:38:00,"i","4",2017-05-05 14:22:00 -04:00,8,"PSB boats also in area","v"
929,"80nm E New York NY",2017-05-31 08:56:00 -04:00,"",2017-05-17 06:33:00,"i","1",2017-05-17 08:56:00 -04:00,8,"Marine Mammal observer on R/V Bigelow","v"
2945,"13nm S Nantucket MA",2017-06-30 13:56:00 -04:00,"",2017-06-15 10:36:00,"i","4",2017-06-19 13:56:00 -04:00,3,"sighting not received until 6/19","v"
2965,"2nm S of Nantucket MA",2017-07-19 12:14:00 -04:00,"extended",2017-07-03 00:00:00,"i","0",2017-07-05 12:14:00 -04:00,3,"drone footage off  Madaquecham Beach, Nantucket","v"
2985,"2nm S of Nantucket MA",2017-07-30 12:41:00 -04:00,"extended new bounds",2017-07-15 00:00:00,"e","0",2017-07-17 12:41:00 -04:00,3,"based on RWSAS ID=28543 from July 15th from Scott Leonard","v"
3005,"4nm S Nantucket MA",2017-08-11 11:56:00 -04:00,"",2017-07-27 09:13:00,"e","4",2017-07-28 11:56:00 -04:00,4,"extension but updated to new coordinates","v"
3025,"30nm S Nantucket MA",2018-02-05 20:22:00 -05:00,"",2018-01-21 15:36:00,"i","4",2018-01-22 20:22:00 -05:00,22,"delays in receiving sightings and processing","v"
3045,"86nm ESE Virginia Beach VA",2018-02-07 07:53:00 -05:00,"",2018-01-23 01:00:00,"i","0",2018-01-25 07:53:00 -05:00,4,"U.S Military ship LJG Lunkwitz  phone number 402 630 3251","v"
3066,"54nm ESE Virginia Beach VA",2018-02-13 15:46:00 -05:00,"",2018-01-26 00:00:00,"i","45",2018-01-30 15:46:00 -05:00,3,"","v"
3085,"29nm S Nantucket MA",2018-02-24 09:30:00 -05:00,"",2018-02-09 14:42:00,"i","4",2018-02-10 09:30:00 -05:00,6,"","v"
3105,"Savannah",2018-03-10 16:45:00 -05:00,"",2018-02-24 16:45:00,"i","48",2018-02-24 16:45:00 -05:00,5,"entered into database on March 2nd","v"
3125,"11nm SW Nantucket MA",2018-04-04 18:02:00 -04:00,"extended",2018-03-20 11:45:00,"i","4",2018-03-20 18:02:00 -04:00,6,"NLPSC aerial survey","v"
3145,"11nm SW Nantucket MA",2018-04-13 00:00:01 -04:00,"",2018-03-29 14:40:00,"e","4",2018-04-04 10:43:00 -04:00,8,"Late entry","v"
